combo_key,variant,params_json,symbol,status,n_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 10}",USDJPY,OK,5,1.969602,0.000000,4.257202,1.034127,100.000000,11,0,0.038831,1.000000,123,true,false,BLOCKED,min_fold_oos_trades=0 < 5; total_oos_trades=11 < 40; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 20}",EURUSD,OK,5,1.352250,0.000000,0.000000,2.048256,100.000000,14,1,0.906184,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=1 < 5; total_oos_trades=14 < 40; median_oos_sharpe=0.000 < 0.70; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 20}",GBPUSD,OK,5,0.906740,0.000000,-0.559223,2.045345,100.000000,16,2,0.813445,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=16 < 40; median_oos_pf=0.907 < 1.30; median_oos_sharpe=-0.559 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 20}",XAUUSD,OK,5,51.790055,0.960531,7.926475,1.017753,104.656232,13,1,0.044160,1.000000,123,true,false,BLOCKED,min_fold_oos_trades=1 < 5; total_oos_trades=13 < 40; max_is_to_oos_sharpe_degradation_pct=104.7% > 30%
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 20}",USDJPY,OK,5,1.969602,0.000000,4.257202,1.034127,100.000000,11,0,0.038831,1.000000,123,true,false,BLOCKED,min_fold_oos_trades=0 < 5; total_oos_trades=11 < 40; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 5}",EURUSD,OK,5,0.079976,0.000000,-11.396142,3.256654,5463.858316,27,2,0.609322,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=27 < 40; median_oos_pf=0.080 < 1.30; median_oos_sharpe=-11.396 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=5463.9% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 5}",GBPUSD,OK,5,0.976562,0.484953,-0.106998,1.730196,100.000000,27,3,0.622653,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=3 < 5; total_oos_trades=27 < 40; median_oos_pf=0.977 < 1.30; median_oos_sharpe=-0.107 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 5}",XAUUSD,OK,5,3.279794,0.399223,5.691955,3.388887,290.923980,44,8,0.113350,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=290.9% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 5}",USDJPY,OK,5,1.847291,0.000000,3.918262,1.432512,1230.236397,24,4,0.479577,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=4 < 5; total_oos_trades=24 < 40; max_is_to_oos_sharpe_degradation_pct=1230.2% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 10}",EURUSD,OK,5,0.079976,0.000000,-11.396142,3.256654,5463.858316,27,2,0.609322,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=27 < 40; median_oos_pf=0.080 < 1.30; median_oos_sharpe=-11.396 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=5463.9% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 10}",GBPUSD,OK,5,0.976562,0.484953,-0.106998,1.730196,100.000000,27,3,0.622653,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=3 < 5; total_oos_trades=27 < 40; median_oos_pf=0.977 < 1.30; median_oos_sharpe=-0.107 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 10}",XAUUSD,OK,5,3.279794,0.399223,5.691955,3.388887,290.923980,44,8,0.113350,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=290.9% > 30%
